Id Commande,Id client,Categorie,Article,Prix unitaire,Quantité,Depense totale,Methode de paiement,Lieu,Date de commande
TXN_6867343,Client_09,Patisserie,Article_10_PAT,18.5,10.0,185.0,Portefeuille electronique,En ligne,2024-04-08
TXN_3731986,Client_22,Produit laitier,Article_17_LAIT,29.0,9.0,261.0,Portefeuille electronique,En ligne,2023-07-23
TXN_9303719,Client_02,Bouchers,Article_12_BOU,21.5,2.0,43.0,Carte de credit,En ligne,2022-10-05
TXN_9458126,Client_06,Boissons,Article_16_BOI,27.5,9.0,247.5,Carte de credit,En ligne,2022-05-07
TXN_4575373,Client_05,Nourriture,Article_6_NOUR,12.5,7.0,87.5,Portefeuille electronique,En ligne,2022-10-02
TXN_7482416,Client_09,Patisserie,inconnu,0.0,10.0,200.0,Carte de credit,En ligne,2023-11-30
TXN_3652209,Client_07,Nourriture,Article_1_NOUR,5.0,8.0,40.0,Carte de credit,En magasin,2023-06-10
TXN_1372952,Client_21,Meubles,inconnu,33.5,0.0,0.0,Portefeuille electronique,En magasin,2024-04-02
TXN_9728486,Client_23,Meubles,Article_16_MEU,27.5,1.0,27.5,Carte de credit,En magasin,2023-04-26
TXN_2722661,Client_25,Bouchers,Article_22_BOU,36.5,3.0,109.5,Espèce,En ligne,2024-03-14
TXN_8776416,Client_22,Bouchers,Article_3_BOU,8.0,9.0,72.0,Espèce,En magasin,2024-12-14
TXN_5422631,Client_09,Produit laitier,inconnu,0.0,8.0,52.0,Portefeuille electronique,En magasin,2025-01-12
TXN_5874772,Client_23,Nourriture,Article_2_NOUR,6.5,7.0,45.5,Espèce,En ligne,2023-09-09
TXN_4413070,Client_14,Patisserie,Article_24_PAT,39.5,6.0,237.0,Portefeuille electronique,En magasin,2022-05-20
TXN_2490363,Client_09,Produit laitier,Article_16_LAIT,27.5,2.0,55.0,Portefeuille electronique,En ligne,2022-05-22
TXN_1809665,Client_14,Boissons,inconnu,24.5,0.0,0.0,Carte de credit,En magasin,2022-05-11
TXN_7563311,Client_23,Patisserie,Article_17_PAT,29.0,8.0,232.0,Espèce,En ligne,2024-11-16
TXN_9634894,Client_15,Produit laitier,inconnu,0.0,10.0,275.0,Portefeuille electronique,En ligne,2022-04-17
TXN_4396807,Client_17,Appareil menager electrique,Article_13_ELEC,23.0,1.0,23.0,Portefeuille electronique,En magasin,2022-02-07
TXN_4206593,Client_01,Meubles,inconnu,35.0,0.0,0.0,Portefeuille electronique,En ligne,2025-01-13
TXN_9939063,Client_14,Boissons,Article_7_BOI,14.0,9.0,126.0,Portefeuille electronique,En magasin,2024-01-14
TXN_8685338,Client_15,Produit laitier,inconnu,0.0,3.0,105.0,Carte de credit,En magasin,2023-10-29
TXN_6547964,Client_10,Appareil menager electrique,Article_4_ELEC,9.5,7.0,66.5,Espèce,En magasin,2022-08-15
TXN_3314099,Client_04,Nourriture,Article_10_NOUR,18.5,1.0,18.5,Espèce,En ligne,2023-09-30
TXN_9980736,Client_13,Meubles,Article_14_MEU,24.5,2.0,49.0,Espèce,En ligne,2023-08-29
TXN_3481599,Client_05,Meubles,inconnu,39.5,0.0,0.0,Espèce,En ligne,2022-09-08
TXN_9057609,Client_18,Bouchers,Article_20_BOU,33.5,4.0,134.0,Carte de credit,En magasin,2022-03-16
TXN_1599706,Client_14,Meubles,Article_25_MEU,41.0,10.0,410.0,Carte de credit,En magasin,2024-03-24
TXN_1598860,Client_08,Nourriture,Article_14_NOUR,24.5,10.0,245.0,Espèce,En magasin,2022-10-23
TXN_7138501,Client_18,Patisserie,Article_22_PAT,36.5,5.0,182.5,Carte de credit,En magasin,2022-03-10
TXN_5444504,Client_05,Nourriture,Article_11_NOUR,20.0,10.0,200.0,Portefeuille electronique,En ligne,2022-04-26
